Effect Type|Implementation Hook|Attribute ID on 1.20.1 (VERIFY in-game)|Example Magnitude|Point Cost|Difficulty|Notes
POTION_DURATION_MULT|Effect-added event - rebuild the MobEffectInstance|n/a|+25% duration|4|Medium|Only extend beneficial effects. Watch for infinite re-application loops
POTION_AMPLIFIER_BOOST|Effect-added event|n/a|+1 amplifier on self-brewed potions|6|Hard|Amplifier jumps are huge. Restrict to specific effects
XP_MULT|XP pickup / drop event|n/a|+20% XP|2|Easy|Popular and safe
PASSIVE_EFFECT|Re-apply a hidden MobEffectInstance every 40 ticks|n/a|Night Vision while below y=0|3|Medium|Use ambient+hidden particles or it looks terrible
ON_KILL_PROC|Death event|n/a|10% chance to restore 1 heart on kill|4|Medium|Add an internal cooldown
ON_HURT_PROC|Damage event|n/a|Below 30% HP gain Strength I for 5s|5|Medium|Cooldown mandatory
ON_MINE_PROC|Block break event|n/a|3% chance to double ore drops|5|Medium|Respect Silk Touch and fortune. Do not double-fire on multi-block breaks
LOOT_LUCK_CONTEXT|Loot context modifier|n/a|+1 effective luck on chest loot|4|Hard|Requires a global loot modifier
ENCHANT_INTRINSIC|Attack event - apply an enchantment's effect as if the held weapon carried it|n/a|Fire Aspect I on any melee weapon|4|Medium|Apply the EFFECT - never write the enchantment onto the item or it survives being dropped or traded. Do not stack with a real Fire Aspect on the same weapon - take the higher level
ACTIVE_ABILITY|Keybind or use event plus a per-player server-side cooldown|n/a|Throw a conjured ender pearl on a 5 second cooldown|6|Hard|THE FIRST ACTIVATED ABILITY IN THE MOD. Needs a keybind - a cooldown readout on the HUD - and cooldown validation on the server. Never trust a client-reported cooldown
CUSTOM|Bespoke code|n/a|Varies|Varies|Hard|Reserve for Legendary/Mythic only - each one is a maintenance burden
|||||||
IMPORTANT|Attribute IDs are now written for 1.20.1 - note the generic. prefix that 1.21 later removed - and Operation is the old ADDITION / MULTIPLY_BASE / MULTIPLY_TOTAL enum. Print the full attribute registry in-game as the Phase 0 task says and correct anything marked VERIFY.||||||
IMPORTANT|On 1.20.1 a modifier is keyed by UUID - not by ResourceLocation. Store a ResourceLocation-shaped id in the title JSON and derive the UUID from it with UUID.nameUUIDFromBytes so the content files survive the port untouched. Reusing one id across two titles makes the second silently overwrite the first.||||||
IMPORTANT|Always remove modifiers on unequip AND on player logout-save. Orphaned max_health modifiers are the classic way this kind of mod corrupts a save.||||||
IMPORTANT|COST OF THE 1.20.1 DECISION - 12 of the 23 ATTR_ effects below have no vanilla attribute on 1.20.1. They were all added in 1.20.5 / 1.21. Each is now an event hook instead of a free attribute modifier - more code - more to test - and more to delete at port time when the real attribute finally exists.||||||
IMPORTANT|Re-cost the affected effects on the Balance Model sheet. Point costs were set assuming these were cheap attribute modifiers. An event-hook implementation does not change how strong the effect is - but it does change whether it is worth building for v1. ATTR_SNEAKING_SPEED and ATTR_EXPLOSION_KB_RESIST are the two to cut.||||||
