Mod or Group|Registry Namespace|Seen In|Why It Matters To Us|Integration Type|What We Actually Do|Notes
Alex's Mobs and Alex's Caves|alexsmobs and alexscaves|Cisco's and Soulrend|Large mob and biome content|FREE|Title JSON keyed on entity - biome and item ids|
Bosses of Mass Destruction and Bosses Rise|bosses_of_mass_destruction|Cisco's|Additional named boss fights|FREE|Title JSON keyed on entity ids|
Mutant Monsters|mutantmonsters|Cisco's|Upgraded vanilla mob variants|FREE|Title JSON keyed on entity ids|
Marium's Soulslike Weaponry|soulslikeweaponry|Cisco's|Weapon content with unique mechanics|FREE|Title JSON keyed on item ids and kill-with-item conditions|
Irons Spells n Spellbooks and Ars Elemental|irons_spellbooks and ars_elemental|Cisco's|Magic systems with their own progression|FREE for v1|Title JSON keyed on item and entity ids|A spell-cast-count condition would need a compat class. Not worth it until someone asks for it
The Twilight Forest and The Aether|twilightforest and aether|Cisco's|Full extra dimensions|FREE|Title JSON keyed on dimension ids|
The Undergarden - Deeper and Darker - Voidscape|-|Beyond Depth|Three extra dimensions|FREE|Title JSON keyed on dimension ids|From the Beyond Depth store page - provisional until we read its manifest
Structure mod family|-|Cisco's and Beyond Depth|When Dungeons Arise - Dungeons Plus - Dungeon Crawl - Dungeons Enhanced - Stalwart Dungeons - YUNGs Better Dungeons - Explorify|FREE|Title JSON keyed on structure ids or tags|A reach-a-structure condition covers all of these at once if we key on tags wherever possible
Sinytra Connector and Forgified Fabric API and Architectury|-|Cisco's|Lets the pack run Fabric mods on Forge|NO ACTION|Nothing|Connector goes Fabric to Forge only - never the reverse. This is why a Forge mod is the correct shape for Cisco's - and why Prominence II being a Fabric pack cannot be solved this way
CONCLUSION - what actually needs code|-|-|Exactly two things - attributeslib as a compat class and a clean /titles grant command. Everything else on this sheet is datapack JSON or nothing at all.|-|Prioritise the condition and effect vocabulary over any per-mod Java|The mods worth a compat class are the ones appearing in EVERY target pack. There are two of them. Resist adding more
CONCLUSION - what to build for pack authors|-|-|Ship example title JSON for Cataclysm and Mowzies since they appear in all three packs - and document the condition vocabulary properly|-|A pack author who can write their own titles is worth more than any compat class we write for them|Also port-proof - JSON survives the jump to 26.x untouched while every Java compat class is a liability
