ID|Display Name|Category|Rarity|Scarcity|Max Holders|Secret|Hint|How to Obtain|Progress Source|Effect Summary|Effect Types|Magnitude|Power Budget|Impl Complexity|Status|Flavor Text
breeze_catcher|Breeze Catcher|Combat|Common|Unlimited|-|No|-|Kill 25 breezes|Vanilla stat ENTITY_KILLED|More damage to breezes|DMG_VS_TYPE|+10% vs breezes|2|Easy|Planned|You cannot punch wind. You did anyway.
shulker_cracker|Shulker Cracker|Combat|Common|Unlimited|-|No|-|Kill 30 shulkers|Vanilla stat ENTITY_KILLED|More damage to shulkers|DMG_VS_TYPE|+10% vs shulkers|2|Easy|Planned|A box with opinions.
ravager_breaker|Ravager Breaker|Combat|Common|Unlimited|-|No|-|Kill 25 ravagers|Vanilla stat ENTITY_KILLED|More damage to ravagers|DMG_VS_TYPE|+10% vs ravagers|2|Easy|Planned|It stopped. Eventually.
bone_splitter|Bone Splitter|Combat|Uncommon|Unlimited|-|No|-|Kill 100 skeletons|Vanilla stat ENTITY_KILLED|More damage to skeletons and less from arrows|DMG_VS_TYPE DMG_RESIST_FROM_TYPE|+15% vs skeletal and -10% projectile damage|5|Medium|Planned|Aim for the ribs. There is nothing else there.
creeper_defuser|Creeper Defuser|Combat|Rare|Unlimited|-|No|-|Kill 50 creepers without dying to one|Kill counter with a death reset|Creepers barely scratch you|DMG_RESIST_FROM_TYPE DMG_VS_TYPE|-40% creeper explosion damage and +15% vs creepers|6|Medium|Planned|That hiss used to mean something.
ender_hunter|Ender Hunter|Combat|Rare|Unlimited|-|No|-|Kill 20 endermen|Vanilla stat ENTITY_KILLED|Damage vs endermen and they aggro slower|DMG_VS_TYPE CUSTOM|+20% vs endermen and eye contact grace period|5|Hard|Planned|Look. Just do not blink.
blaze_quencher|Blaze Quencher|Combat|Uncommon|Unlimited|-|No|-|Kill 50 blazes|Vanilla stat ENTITY_KILLED|Fire resistance and damage vs nether mobs|ATTR_BURNING_TIME DMG_VS_TYPE|-60% burn time and +15% vs blazes|5|Medium|Planned|Cool under pressure.
raid_breaker|Raid Breaker|Combat|Rare|Unlimited|-|No|-|Win 5 village raids|Vanilla advancement hero_of_the_village|Damage vs illagers and better villager prices|DMG_VS_TYPE CUSTOM|+20% vs illagers and -15% trade cost|6|Hard|Planned|The bells stopped ringing when you arrived.
shieldbearer|Shieldbearer|Combat|Uncommon|Unlimited|-|No|-|Block 500 damage with a shield|Custom counter on shield block|Tougher and steadier|ATTR_ARMOR_TOUGHNESS ATTR_KNOCKBACK_RESIST|+2 toughness and +0.2 kb resist|5|Medium|Planned|A wall that walks.
duelist|Duelist|Combat|Rare|Unlimited|-|No|-|Land 100 fully-charged critical hits|Attack event with crit flag|Crits hit harder|CUSTOM|+25% critical hit damage|6|Medium|Planned|Timing beats strength.
berserker|Berserker|Combat|Epic|Unlimited|-|No|-|Kill 25 hostile mobs while below 4 hearts|Kill event with health check|Damage scales as health drops|ON_HURT_PROC ATTR_ATTACK_DAMAGE|Up to +30% damage below 30% HP|7|Medium|Planned|Pain is just information.
marksman|Marksman|Combat|Rare|Unlimited|-|No|-|Kill 50 mobs with a bow from over 30 blocks|Projectile kill event with distance|Arrows fly truer and hit harder|CUSTOM|+15% projectile damage and reduced arrow drop|6|Hard|Planned|The wind is a suggestion.
dragonslayer|Dragonslayer|Combat|Legendary|Unlimited|-|No|-|Kill the Ender Dragon|Vanilla stat ENTITY_KILLED|Broad combat mastery|ATTR_ATTACK_DAMAGE ATTR_MAX_HEALTH|+10% damage and +4 max health|9|Easy|Planned|It was big. You were stubborn.
first_dragonslayer|First Dragonslayer|Combat|Mythic|Unique|1|No|-|Be the first player on this world to kill the Ender Dragon|Server ledger claim|SIGNATURE - never take fall damage. Small combat edge on top.|CUSTOM ATTR_ATTACK_DAMAGE|Fall damage immunity and +5% damage|4 exempt|Medium|Planned|There is only ever one first.
monster_slayer|Monster Slayer|Combat|Mythic|Founding|10|Yes|Eradication of these fiends is the only solution...|Be one of the first 10 players on the server to kill 150 of every standard hostile mob - list defined in the datapack - bosses excluded|Vanilla stat ENTITY_KILLED checked per type against the datapack list - server ledger claim|SIGNATURE - broad mastery over every monster in the world. Does nothing in PvP.|DMG_VS_TYPE|+20% vs all hostile mobs - never vs players|5 exempt|Medium|Planned|Nothing in the dark is new to you anymore.
wither_bane|Wither Bane|Combat|Legendary|Unlimited|-|No|-|Kill the Wither|Vanilla stat ENTITY_KILLED|Immune to wither and stronger against bosses|CUSTOM DMG_VS_TYPE|Wither effect immunity and +10% vs bosses|9|Medium|Planned|Three heads. No survivors.
healthy|Healthy|Survival|Common|Unlimited|-|No|-|Keep the hunger bar full for 3 consecutive in-game days|Tick sampler on food level|Two extra hearts|ATTR_MAX_HEALTH|+4.0 max health|4|Easy|Planned|Three square meals and a long nap.
heat_hardened|Heat Hardened|Survival|Common|Unlimited|-|No|-|Take 200 total fire or lava damage and live|Damage source counter|Fire hurts less and ends sooner|DMG_VS_DAMAGE_SOURCE ATTR_BURNING_TIME|-10% fire damage and -25% burn time|3|Easy|Planned|You have been on fire enough times to have a routine.
cold_hardened|Cold Hardened|Survival|Common|Unlimited|-|No|-|Take 100 total freezing damage|Damage source counter|Freezing hurts less|DMG_VS_DAMAGE_SOURCE|-15% freeze damage|2|Easy|Planned|Shivering is just a bad habit.
blast_hardened|Blast Hardened|Survival|Common|Unlimited|-|No|-|Survive 25 explosions|Damage source counter|Explosions hurt less|DMG_VS_DAMAGE_SOURCE|-10% explosion damage|2|Easy|Planned|Ears still ringing. Worth it.
arrow_reader|Arrow Reader|Survival|Common|Unlimited|-|No|-|Take 100 arrow hits|Damage source counter|Projectiles hurt less|DMG_VS_DAMAGE_SOURCE|-10% projectile damage|2|Easy|Planned|You watch the hands - not the arrow.
hard_headed|Hard Headed|Survival|Common|Unlimited|-|No|-|Be hit by 20 falling blocks|Damage source counter|Falling blocks barely register|DMG_VS_DAMAGE_SOURCE|-50% falling block damage|2|Easy|Planned|The anvil lost.
venom_tested|Venom Tested|Survival|Common|Unlimited|-|No|-|Spend 10 real minutes poisoned|Tick sampler on active effects|Poison and magic damage hurt less|DMG_VS_DAMAGE_SOURCE|-25% poison and magic damage|2|Easy|Planned|Everything is a dosage question. This is the low end.
well_rested|Well Rested|Survival|Common|Unlimited|-|No|-|Sleep through 30 nights|Sleep event counter|Brief regeneration after waking|PASSIVE_EFFECT|Regeneration I for 30s on waking|3|Medium|Planned|Eight hours changes a person.
ironclad|Ironclad|Survival|Common|Unlimited|-|No|-|Wear a full set of iron armor for 3 in-game days|Tick sampler on armor slots|Armor works better|ATTR_ARMOR|+1.5 armor|3|Easy|Planned|Heavy is comforting.
deep_breather|Deep Breather|Survival|Common|Unlimited|-|No|-|Spend 30 minutes underwater|Tick sampler while submerged|Longer breath and no underwater mining penalty|ATTR_OXYGEN_BONUS ATTR_SUBMERGED_MINING|+3 oxygen and +0.5 submerged mining|3|Easy|Planned|Lungs like a bellows.
cliffhanger|Cliffhanger|Survival|Uncommon|Unlimited|-|No|-|Survive 20 falls that deal damage|Damage source counter|Falls hurt much less|ATTR_SAFE_FALL_DISTANCE ATTR_FALL_DAMAGE_MULT|+4 safe fall and -35% fall damage|4|Easy|Planned|Gravity keeps trying. Gravity keeps failing.
frostborn|Frostborn|Survival|Uncommon|Unlimited|-|No|-|Spend 5 in-game days in a snowy biome|Tick sampler with biome check|Immune to powder snow freezing and faster on ice|CUSTOM ATTR_MOVEMENT_SPEED|Freeze immunity and +10% speed on ice|4|Medium|Planned|The cold gave up on you.
fireproof|Fireproof|Survival|Rare|Unlimited|-|No|-|Survive being in lava for 10 seconds total|Damage source counter|Burns end quickly and hurt less|ATTR_BURNING_TIME DMG_VS_DAMAGE_SOURCE|-70% burn time and -25% fire damage|5|Medium|Planned|You smell like a forge and you like it.
famine_walker|Famine Walker|Survival|Rare|Unlimited|-|Yes|Nobody ever earned this on a full stomach.|Survive 1 in-game day at zero hunger without dying|Tick sampler on food level|Hunger drains much slower|CUSTOM|-40% exhaustion rate|5|Medium|Planned|You forgot what full feels like.
unbroken|Unbroken|Survival|Epic|Unlimited|-|No|-|Survive 50 in-game days without dying|Playtime stat minus death reset|Substantially tougher|ATTR_MAX_HEALTH ATTR_ARMOR|+6 max health and +2 armor|8|Medium|Planned|Fifty days is a long time to be careful.
the_immortal|The Immortal|Survival|Mythic|Limited|10|No|-|Survive 150 in-game days without a single death|Playtime stat minus death reset|SIGNATURE - one free cheat of death per in-game day|CUSTOM ATTR_MAX_HEALTH|Totem-style revive on a 1 in-game day cooldown and +2 max health|4 exempt|Hard|Planned|Death has stopped filing the paperwork.
sprinter|Sprinter|Exploration|Common|Unlimited|-|No|-|Sprint 20000 blocks|Vanilla stat SPRINT_ONE_CM|Sprinting costs less food|CUSTOM|-25% sprint exhaustion|2|Medium|Planned|Second wind arrived early and stayed.
climber|Climber|Exploration|Common|Unlimited|-|No|-|Climb 5000 blocks of ladder or vine|Vanilla stat CLIMB_ONE_CM|Faster on ladders and vines|CUSTOM|+50% climb speed|2|Medium|Planned|Up is just sideways with commitment.
boatwright|Boatwright|Exploration|Common|Unlimited|-|No|-|Travel 10000 blocks by boat|Vanilla stat BOAT_ONE_CM|Boats move faster|CUSTOM|+15% boat speed|2|Medium|Planned|Two planks and an opinion about water.
rider|Rider|Exploration|Common|Unlimited|-|No|-|Travel 10000 blocks mounted|Vanilla stat HORSE_ONE_CM|Mounts move faster|CUSTOM|+10% mount speed|2|Medium|Planned|You stopped holding on years ago.
light_footed|Light Footed|Exploration|Common|Unlimited|-|No|-|Sneak 2000 blocks|Vanilla stat CROUCH_ONE_CM|Sneak without the crawl|ATTR_SNEAKING_SPEED|+30% sneaking speed|1|Easy|Planned|Quiet and quick are not opposites.
cartographer|Cartographer|Exploration|Uncommon|Unlimited|-|No|-|Visit 20 distinct biomes|Custom biome-visited set|Faster travel on foot|ATTR_MOVEMENT_SPEED ATTR_STEP_HEIGHT|+8% speed and +0.5 step height|4|Medium|Planned|The blank spaces are getting smaller.
ocean_born|Ocean Born|Exploration|Uncommon|Unlimited|-|No|-|Travel 20000 blocks by boat or swimming|Vanilla distance stats|Move well in water|ATTR_WATER_MOVE_EFF ATTR_OXYGEN_BONUS|+0.5 water efficiency and +2 oxygen|4|Easy|Planned|Land is where you keep your things.
nether_native|Nether Native|Exploration|Rare|Unlimited|-|No|-|Spend 7 in-game days in the Nether|Tick sampler with dimension check|At home in hell|ATTR_BURNING_TIME DMG_VS_TYPE|-50% burn time and +10% vs nether mobs|5|Medium|Planned|The screaming became background noise.
treasure_hunter|Treasure Hunter|Exploration|Rare|Unlimited|-|No|-|Open 50 naturally-generated loot chests|Custom container-open tracker|Better loot rolls|LOOT_LUCK_CONTEXT ATTR_LUCK|+2 effective luck on generated loot|6|Hard|Planned|X does not actually mark anything. You check anyway.
void_walker|Void Walker|Exploration|Epic|Unlimited|-|No|-|Enter 10 distinct End Cities|Structure lookup on a tick sampler while in the End - dedupe by structure start position|Ender pearls cost you nothing|CUSTOM ATTR_FALL_DAMAGE_MULT|No pearl teleport damage and -50% fall damage|7|Medium|Planned|Edges are a matter of opinion.
apprentice_smith|Apprentice Smith|Crafting|Common|Unlimited|-|No|-|Craft 100 pieces of armor|Vanilla stat ITEM_CRAFTED over a tag|Armor lasts longer|CUSTOM|-10% armor durability consumption|2|Medium|Planned|Cheap plate - patched twice - still holding.
master_smith|Master Smith|Crafting|Rare|Unlimited|-|No|-|Craft 200 tools or weapons|Vanilla stat ITEM_CRAFTED over a tag|Your gear outlives everyone else's|CUSTOM|-20% durability consumption on tools and armor|6|Medium|Planned|Measure once. You already know.
enchanter|Enchanter|Crafting|Epic|Unlimited|-|No|-|Enchant 50 items|Vanilla stat over enchanting table interaction|Better enchantment rolls|CUSTOM|+2 effective enchanting levels and -1 lapis cost|7|Hard|Planned|The words rearrange themselves for you now.
alchemist|Alchemist|Crafting|Rare|Unlimited|-|No|-|Brew 100 potions|Custom brewing-stand tracker|Potions last longer on you|POTION_DURATION_MULT|+30% duration on beneficial effects|6|Medium|Planned|Everything is a dosage question.
grand_alchemist|Grand Alchemist|Crafting|Legendary|Limited|2|No|-|Brew every potion type in the game|Custom brewed-type set|SIGNATURE - your brews come out a tier stronger|POTION_AMPLIFIER_BOOST|+1 amplifier on self-brewed potions from a fixed allowlist|5 exempt|Hard|Planned|You stopped reading the recipes years ago.
haggler|Haggler|Trading|Common|Unlimited|-|No|-|Complete 20 villager trades|Vanilla stat TRADED_WITH_VILLAGER|A small discount everywhere|CUSTOM|-5% trade cost|2|Medium|Planned|You always ask. It usually works.
restocker|Restocker|Trading|Uncommon|Unlimited|-|No|-|Complete 100 villager trades|Vanilla stat TRADED_WITH_VILLAGER|Villagers restock sooner|CUSTOM|-25% villager restock time|3|Medium|Planned|They work harder when you are watching.
caravan_friend|Caravan Friend|Trading|Uncommon|Unlimited|-|No|-|Trade with 10 different wandering traders|Custom trader-uuid set|Wandering traders find you more often|CUSTOM|Double wandering trader spawn rate near you|3|Medium|Planned|The llamas remember you.
master_trader|Master Trader|Trading|Rare|Unlimited|-|No|-|Complete 200 villager trades|Vanilla stat TRADED_WITH_VILLAGER|Villagers like you|CUSTOM|-25% trade cost and faster restocks|6|Hard|Planned|Everyone has a price. You found the discount.
harvester|Harvester|Farming|Common|Unlimited|-|No|-|Harvest 1000 mature crops|Vanilla stat BLOCK_MINED over a crop tag|Crops sometimes yield double|ON_MINE_PROC|10% double crop drop|3|Medium|Planned|The field owes you nothing and pays anyway.
beekeeper|Beekeeper|Farming|Common|Unlimited|-|No|-|Harvest 50 honey bottles or honeycomb|Vanilla stat ITEM_USED with a block check|Bees never turn on you|CUSTOM|Bees never become hostile toward you|2|Medium|Planned|You explained yourself and they listened.
shepherd|Shepherd|Farming|Uncommon|Unlimited|-|No|-|Breed 100 animals|Vanilla stat ANIMALS_BRED|Animals follow you further and breed faster|ATTR_TEMPT_RANGE CUSTOM|+4 tempt range and -30% breed cooldown|4|Medium|Planned|They trust you. Do not think about dinner.
angler|Angler|Farming|Uncommon|Unlimited|-|No|-|Catch 250 fish|Vanilla stat FISH_CAUGHT|Better fishing loot and faster bites|ATTR_LUCK CUSTOM|+2 luck while holding a rod and -25% bite time|4|Medium|Planned|Patience with a hook on the end.
bricklayer|Bricklayer|Building|Common|Unlimited|-|No|-|Place 10000 blocks|Vanilla stat BLOCK_PLACED|Slightly longer reach for building|ATTR_INTERACTION_RANGE|+0.5 block interaction range|2|Easy|Planned|One more row before dark.
scaffolder|Scaffolder|Building|Uncommon|Unlimited|-|No|-|Place 500 blocks above y=120|Vanilla stat BLOCK_PLACED with a height check|Safe and fast at height|ATTR_SAFE_FALL_DISTANCE CUSTOM|+3 safe fall distance and +50% scaffolding climb speed|4|Medium|Planned|Height stopped being a feeling.
landscaper|Landscaper|Building|Uncommon|Unlimited|-|No|-|Till 500 blocks and dig 5000|Vanilla stats over hoe and shovel use|Terrain tools move faster and you step up ledges|TOOL_PROFICIENCY ATTR_STEP_HEIGHT|+25% shovel and hoe speed and +0.5 step height|4|Medium|Planned|The land had it coming.
architect|Architect|Building|Rare|Unlimited|-|No|-|Place 100000 blocks|Vanilla stat BLOCK_PLACED|Longer reach and faster placement|ATTR_INTERACTION_RANGE|+1.5 block interaction range|6|Easy|Planned|You see the finished thing before the first block.
first_light|First Light|Meta|Legendary|Founding|50|No|-|Be one of the first 50 players ever to join this world|Server ledger claim on first join|SIGNATURE - golden nameplate and a numbered founder entry in the ledger|ATTR_MAX_HEALTH ATTR_LUCK|+2 max health and +1 luck|3 exempt|Easy|Planned|Someone had to turn on the lights. Fifty of you were here to see it.
collector|Collector|Meta|Uncommon|Unlimited|-|No|-|Earn 10 titles|Owned title count|SLOT AND BUDGET EXEMPT - raises your equipped power budget|CUSTOM|+2 power budget|0 exempt|Medium|Proposed|Ten is where a habit starts.
archivist|Archivist|Meta|Epic|Unlimited|-|No|-|Earn 25 titles|Owned title count|SLOT AND BUDGET EXEMPT - raises your equipped power budget|CUSTOM|+4 power budget|0 exempt|Medium|Proposed|You keep the list. The list keeps you.
chronicler|Chronicler|Meta|Legendary|Unlimited|-|No|-|Earn 50 titles|Owned title count|SLOT AND BUDGET EXEMPT - raises your budget and marks your nameplate|CUSTOM|+6 power budget and a nameplate flourish|0 exempt|Medium|Proposed|Half the world's deeds have your name on them.
the_unrivaled|The Unrivaled|Meta|Legendary|Contested|1|No|-|Hold the highest hostile mob kill count on the server|Server ledger plus a kill counter sweep|SIGNATURE - gold name on the tab list. Transfers the moment someone passes you.|CUSTOM ATTR_ATTACK_DAMAGE|Gold tab-list name and +5% damage|3 exempt|Medium|Proposed|Someone is always counting.
the_generous|The Generous|Social|Rare|Unlimited|-|Yes|Something you gave away is still being counted.|Drop 100 items that another player picks up|Item pickup attribution|Being kind pays|XP_MULT ATTR_LUCK|+25% XP and +1 luck|5|Hard|Planned|Nobody told you it counted.
pacifist|Pacifist|Meta|Legendary|Limited|3|Yes|Fifteen days is a long time to keep your hands clean.|Reach 15 in-game days having killed no mob or player|Kill stat sum must stay zero|SIGNATURE - hostile mobs are slow to notice you|CUSTOM ATTR_MAX_HEALTH|-40% mob detection range and +2 max health|4 exempt|Hard|Planned|You just walked past all of it.
the_hollow|The Hollow|Secret|Epic|Unlimited|-|Yes|The respawn screen knows you by name.|Die 100 times|Vanilla stat DEATHS|Death costs less|CUSTOM|Keep 50% of XP on death and respawn with Absorption|7|Medium|Planned|You know the way back now.
moonstruck|Moonstruck|Secret|Rare|Unlimited|-|Yes|The moon keeps a ledger of quiet nights.|Sleep through 50 nights without ever sleeping through a thunderstorm|Sleep event with weather check|Stronger at night|ATTR_ATTACK_DAMAGE|+15% damage between dusk and dawn|6|Medium|Planned|The moon has opinions about you.
the_drowned_king|The Drowned King|Secret|Legendary|Unique|1|Yes|The temple has a throne. Its rules are drowning ones.|Kill an Elder Guardian while under Mining Fatigue III and drowning|Compound condition on kill event|SIGNATURE - permanent water breathing. Utility not combat power.|CUSTOM ATTR_WATER_MOVE_EFF|Water breathing and +50% swim speed|4 exempt|Hard|Planned|The temple has a new tenant.
warden_touched|Warden Touched|Secret|Mythic|Unique|1|Yes|It let you go. It keeps letting you go.|Escape a Warden after it has fully aggroed on you 10 times|Warden aggro/escape tracker|SIGNATURE - sculk sensors and shriekers never detect you|CUSTOM|Sculk immunity and +15% damage from stealth|4 exempt|Hard|Planned|It let you go. Nine times you thought that was luck.
